"IndicatorID","IndicatorName","ParentCode","ParentName","AreaCode","AreaName","AreaType","Sex","Age","CategoryType","Category","Timeperiod","Value","LowerCI95.0limit","UpperCI95.0limit","LowerCI99.8limit","UpperCI99.8limit","Count","Denominator","Valuenote","RecentTrend","ComparedtoEnglandvalueorpercentiles","ComparedtoNHSregionsvalueorpercentiles","TimeperiodSortable","Newdata","Comparedtogoal","Timeperiodrange","row_id"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000010","North West NHS Region","E54000008","NHS Cheshire and Merseyside Integrated Care Board - QYG","ICBs","Persons","19+ yrs",NA,NA,"2023/24",92.6,87.9,97.3,85.3,100.2,2015,2186096,NA,"No significant change","Worse 99.8%","Similar",20230000,NA,NA,"1y","QYG"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000011","Midlands NHS Region","E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board - QNC","ICBs","Persons","19+ yrs",NA,NA,"2023/24",110.2,101.3,119.6,96.3,125.1,1030,936611.8,NA,"No significant change","Worse 99.8%","Similar",20230000,NA,NA,"1y","QNC"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000011","Midlands NHS Region","E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board - QOC","ICBs","Persons","19+ yrs",NA,NA,"2023/24",85.3,74.1,97.4,68.1,104.6,350,417859.8,NA,"No significant change","Similar","Better 99.8%",20230000,NA,NA,"1y","QOC"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000011","Midlands NHS Region","E54000013","NHS Lincolnshire Integrated Care Board - QJM","ICBs","Persons","19+ yrs",NA,NA,"2023/24",63.9,56.9,71.4,53.1,75.9,430,655422.2,NA,"No significant change","Better 99.8%","Better 99.8%",20230000,NA,NA,"1y","QJM"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000011","Midlands NHS Region","E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board - QK1","ICBs","Persons","19+ yrs",NA,NA,"2023/24",128,119.8,136.6,115.2,141.6,1195,945905,NA,"No significant change","Worse 99.8%","Worse 99.8%",20230000,NA,NA,"1y","QK1"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000011","Midlands NHS Region","E54000018","NHS Coventry and Warwickshire Integrated Care Board - QWU","ICBs","Persons","19+ yrs",NA,NA,"2023/24",102.9,94.8,111.4,90.3,116.4,850,847698,NA,"Increasing and getting worse","Worse 99.8%","Similar",20230000,NA,NA,"1y","QWU"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000011","Midlands NHS Region","E54000019","NHS Herefordshire and Worcestershire Integrated Care Board - QGH","ICBs","Persons","19+ yrs",NA,NA,"2023/24",71.5,60,83.9,53.8,91.2,465,661146.6,NA,"No significant change","Better 95%","Better 99.8%",20230000,NA,NA,"1y","QGH"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000007","East of England NHS Region","E54000022","NHS Norfolk and Waveney Integrated Care Board - QMM","ICBs","Persons","19+ yrs",NA,NA,"2023/24",67.8,59.5,76.5,55,81.7,590,883534.4,NA,"No significant change","Better 99.8%","Similar",20230000,NA,NA,"1y","QMM"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000007","East of England NHS Region","E54000023","NHS Suffolk and North East Essex Integrated Care Board - QJG","ICBs","Persons","19+ yrs",NA,NA,"2023/24",75.7,69,82.8,65.3,87,640,847026,NA,"No significant change","Better 95%","Worse 95%",20230000,NA,NA,"1y","QJG"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000007","East of England NHS Region","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board - QHG","ICBs","Persons","19+ yrs",NA,NA,"2023/24",78,70.9,85.5,67,90,630,841984.8,NA,"No significant change","Similar","Worse 99.8%",20230000,NA,NA,"1y","QHG"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000007","East of England NHS Region","E54000025","NHS Hertfordshire and West Essex Integrated Care Board - QM7","ICBs","Persons","19+ yrs",NA,NA,"2023/24",59.6,54.7,64.8,51.9,67.9,750,1263878.4,NA,"No significant change","Better 99.8%","Better 95%",20230000,NA,NA,"1y","QM7"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000007","East of England NHS Region","E54000026","NHS Mid and South Essex Integrated Care Board - QH8","ICBs","Persons","19+ yrs",NA,NA,"2023/24",70.9,64.7,77.4,61.3,81.3,700,984867.8,NA,"No significant change","Better 99.8%","Similar",20230000,NA,NA,"1y","QH8"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000003","London NHS Region","E54000027","NHS North West London Integrated Care Board - QRV","ICBs","Persons","19+ yrs",NA,NA,"2023/24",92.4,86.9,98.1,83.8,101.4,1735,2303088,NA,"No significant change","Worse 95%","Worse 99.8%",20230000,NA,NA,"1y","QRV"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000003","London NHS Region","E54000028","NHS North Central London Integrated Care Board - QMJ","ICBs","Persons","19+ yrs",NA,NA,"2023/24",56,50.9,61.3,48.2,64.5,685,1433350.8,NA,"No significant change","Better 99.8%","Better 99.8%",20230000,NA,NA,"1y","QMJ"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000003","London NHS Region","E54000029","NHS North East London Integrated Care Board - QMF","ICBs","Persons","19+ yrs",NA,NA,"2023/24",87.9,81.8,94.3,78.4,98.1,1400,1868965.6,NA,"No significant change","Similar","Worse 99.8%",20230000,NA,NA,"1y","QMF"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000003","London NHS Region","E54000030","NHS South East London Integrated Care Board - QKK","ICBs","Persons","19+ yrs",NA,NA,"2023/24",57.5,52.7,62.6,50.1,65.6,865,1657128,NA,"No significant change","Better 99.8%","Better 99.8%",20230000,NA,NA,"1y","QKK"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000003","London NHS Region","E54000031","NHS South West London Integrated Care Board - QWE","ICBs","Persons","19+ yrs",NA,NA,"2023/24",60.3,55.3,65.6,52.5,68.7,770,1381988,NA,"No significant change","Better 99.8%","Better 99.8%",20230000,NA,NA,"1y","QWE"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000005","South East NHS Region","E54000032","NHS Kent and Medway Integrated Care Board - QKS","ICBs","Persons","19+ yrs",NA,NA,"2023/24",69.6,64.5,74.9,61.7,78,1070,1543843.6,NA,"No significant change","Better 99.8%","Similar",20230000,NA,NA,"1y","QKS"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000005","South East NHS Region","E54000034","NHS Frimley Integrated Care Board - QNQ","ICBs","Persons","19+ yrs",NA,NA,"2023/24",70.4,61.7,79.8,56.9,85.4,440,638141.8,NA,"Cannot be calculated","Better 95%","Similar",20230000,NA,NA,"1y","QNQ"
93573,"Emergency hospital admissions for asthma in adults (aged 19 years and over)","E40000006","South West NHS Region","E54000036","NHS Cornwall and the Isles of Scilly Integrated Care Board - QT6","ICBs","Persons","19+ yrs",NA,NA,"2023/24",69.1,52.9,86.7,44.2,97.3,325,487364.6,NA,"No significant change","Similar","Similar",20230000,NA,NA,"1y","QT6"
