"IndicatorID","IndicatorName","ParentCode","ParentName","AreaCode","AreaName","AreaType","Sex","Age","CategoryType","Category","Timeperiod","Value","LowerCI95.0limit","UpperCI95.0limit","LowerCI99.8limit","UpperCI99.8limit","Count","Denominator","Valuenote","RecentTrend","ComparedtoEnglandvalueorpercentiles","ComparedtoNHSregionsvalueorpercentiles","TimeperiodSortable","Newdata","Comparedtogoal","Timeperiodrange","row_id"
90933,"Asthma: QOF prevalence","E40000010","North West NHS Region","E54000008","NHS Cheshire and Merseyside Integrated Care Board - QYG","ICBs","Persons","6+ yrs",NA,NA,"2023/24",7.03062,6.99972,7.06165,6.98196,7.0796,184139,2619100,NA,"Cannot be calculated","Higher 99.8","Similar",20230000,NA,NA,"1y","QYG"
90933,"Asthma: QOF prevalence","E40000011","Midlands NHS Region","E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board - QNC","ICBs","Persons","6+ yrs",NA,NA,"2023/24",6.94727,6.90048,6.99436,6.87363,7.02165,78305,1127133,NA,"Cannot be calculated","Higher 99.8","Higher 99.8",20230000,NA,NA,"1y","QNC"
90933,"Asthma: QOF prevalence","E40000011","Midlands NHS Region","E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board - QOC","ICBs","Persons","6+ yrs",NA,NA,"2023/24",7.19934,7.12825,7.27109,7.08755,7.31276,36225,503171,NA,"Cannot be calculated","Higher 99.8","Higher 99.8",20230000,NA,NA,"1y","QOC"
90933,"Asthma: QOF prevalence","E40000011","Midlands NHS Region","E54000013","NHS Lincolnshire Integrated Care Board - QJM","ICBs","Persons","6+ yrs",NA,NA,"2023/24",7.36016,7.3024,7.41834,7.26928,7.45209,57364,779385,NA,"Cannot be calculated","Higher 99.8","Higher 99.8",20230000,NA,NA,"1y","QJM"
90933,"Asthma: QOF prevalence","E40000011","Midlands NHS Region","E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board - QK1","ICBs","Persons","6+ yrs",NA,NA,"2023/24",6.36898,6.3246,6.41364,6.29914,6.43953,73613,1155806,NA,"Cannot be calculated","Lower 99.8","Lower 99.8",20230000,NA,NA,"1y","QK1"
90933,"Asthma: QOF prevalence","E40000011","Midlands NHS Region","E54000018","NHS Coventry and Warwickshire Integrated Care Board - QWU","ICBs","Persons","6+ yrs",NA,NA,"2023/24",6.1166,6.07066,6.16287,6.04431,6.1897,63473,1037717,NA,"Cannot be calculated","Lower 99.8","Lower 99.8",20230000,NA,NA,"1y","QWU"
90933,"Asthma: QOF prevalence","E40000011","Midlands NHS Region","E54000019","NHS Herefordshire and Worcestershire Integrated Care Board - QGH","ICBs","Persons","6+ yrs",NA,NA,"2023/24",7.12039,7.06369,7.17751,7.03119,7.21064,55854,784423,NA,"Cannot be calculated","Higher 99.8","Higher 99.8",20230000,NA,NA,"1y","QGH"
90933,"Asthma: QOF prevalence","E40000007","East of England NHS Region","E54000022","NHS Norfolk and Waveney Integrated Care Board - QMM","ICBs","Persons","6+ yrs",NA,NA,"2023/24",7.93288,7.88112,7.98496,7.85141,8.01513,82564,1040782,NA,"Cannot be calculated","Higher 99.8","Higher 99.8",20230000,NA,NA,"1y","QMM"
90933,"Asthma: QOF prevalence","E40000007","East of England NHS Region","E54000023","NHS Suffolk and North East Essex Integrated Care Board - QJG","ICBs","Persons","6+ yrs",NA,NA,"2023/24",7.41418,7.36329,7.46539,7.33409,7.49507,75026,1011926,NA,"Cannot be calculated","Higher 99.8","Higher 99.8",20230000,NA,NA,"1y","QJG"
90933,"Asthma: QOF prevalence","E40000007","East of England NHS Region","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board - QHG","ICBs","Persons","6+ yrs",NA,NA,"2023/24",6.40504,6.35845,6.45196,6.33172,6.47916,67466,1053326,NA,"Cannot be calculated","Lower 99.8","Lower 99.8",20230000,NA,NA,"1y","QHG"
